 60606 273 23   3 4.258 3.90 389 70 -26 +20
 63462 435 18   2 4.449 4.50 473 73  -7 +17
 66194 200 29   4 4.403 4.00 367 47 -14 +43
 68980 145 27   4 4.461 3.40 445 26  -7 +12
 75311 268 13   2 4.314 4.00 367 79 -32 +11
 77320 345  5   2 4.380 4.00 389 70  -8 +20
 83953 260 13   2 4.196 3.53 295 69  -8 +21
 86612 185  3   2 4.239 3.50 373 42 -12 +26
 88661 237 10   3 4.329 3.48 378 57 -19 +33
 89080 240  2   1 4.117 3.40 241 86  -2  +4
 91120 307 33   4 4.107 4.17 297 90  -0  +0
 91465 266 13   4 4.264 3.65 308 68  -8 +22
105435 260 15   8 4.377 4.00 378 66 -23 +24
105521 120  2   1 4.196 3.80 353 27  -7 +12
109387 200  3   1 4.172 3.15 319 57 -18 +33
110432 400 40   3 4.433 3.00 398 90  -0  +0
112078 302 25   4 4.238 4.03 373 64 -10 +26
112091 210  5   1 4.173 3.40 360 52 -16 +38
113120 358 39   4 4.358 3.45 335 90  -0  +0
120324 124 19   6 4.351 4.09 378 26  -7 +12
124367 295  6   4 4.251 3.33 336 69  -8 +21
127972 310 44   5 4.349 4.09 395 62 -10 +28
131492 185 28   8 4.281 3.38 389 41 -12 +26
134481 180 32   5 4.103 4.23 187 78  -5 +12
135734 278 25   6 4.130 3.80 320 68  -8 +22
137387 250 25   4 4.334 4.10 443 49 -15 +41
138749 340 10   1 4.201 3.00 360 76  -6 +14
142184 340 18   1 4.330 4.10 401 67  -9 +24
142983 390 25   4 4.330 4.10 323 90  -0  +0
148184 144 26   7 4.329 3.70 458 25  -7 +11
149757 348 25   5 4.466 4.00 514 65 -23 +25
157042 340  5   1 4.330 4.10 367 74  -6 +16
158427 290  3   3 4.332 4.00 389 88 -40  +2
158643 250   a               308 64 -10 +26
164284 262 18   6 4.360 4.02 443 53 -16 +38
167128  48  7   2 4.232 3.95 308 12  -3  +5
173948 140  5   2 4.359 3.50 362 31  -9 +15
174237 163  3   2 4.400 4.00 389 34  -9 +17
174638 120   a               330 29  -8 +14
175869 175 10   3 4.127 3.83 248 71 -26 +19
178175 105 15   1 4.379 4.00 413 20  -5  +8
183656 275 23   3 4.243 3.88 345 63 -10 +27
183914 220 10   1 4.114 3.50 320 67 -24 +23
184279 195 20   2 4.406 4.00 473 34  -9 +17
185037 285 12   1 4.114 3.65 320 70  -8 +20
187811 245  2   1 4.300 3.50 401 55 -17 +35
189687 200  5   1 4.265 4.10 353 49 -15 +41
191610 300  7   1 4.275 4.00 353 67  -9 +23
192044 245  5   2 4.122 2.90 330 85 -37  +5
193911 160  8   1 4.130 3.50 241 63 -21 +27
198183 125  5   1 4.183 3.25 360 28  -7 +13
200120 379 22   5 4.382 3.13 430 70  -8 +20
201733 340  7   1 4.276 4.00 336 90  -0  +0
202904 185  8   2 4.347 3.50 389 40 -11 +23
203467 153 13   2 4.239 3.50 353 36 -10 +18
204860 200   a               353 49 -15 +41
205637 225 15   3 4.330 4.10 333 65 -23 +25
208057 100  5   1 4.281 3.90 389 20  -5  +8
208682 307  8   3 4.271 4.03 401 60 -11 +30
209014 320  9   2 4.141 3.70 320 87  -1  +3
209409 280 12   2 4.169 3.13 310 72  -7 +18
209522 275  5   1 4.255 4.00 336 64  -9 +26
210129 130  4   1 4.170 3.20 338 31  -8 +15
212076  98 12   7 4.273 3.90 395 19  -5  +8
212571 230 18   2 4.375 3.50 443 44 -13 +31
214168 300  7   1 4.275 4.00 413 77 -31 +13
214748 200  5   2 4.130 3.93 301 63 -22 +27
217050 265 25   2 4.335 4.05 308 68  -8 +22
217891  95  4   1 4.189 3.05 335 22  -6 +10
224544 260  3   1 4.207 4.10 310 66  -9 +24
224559 300 10   1 4.215 4.10 373 63 -10 +27
