 77320 92/01/18  0.479 0.861 8.611 63.251-77.974 1.193
 83953 90/02/02  1.114 0.885 6.085 65.764-77.288 0.709
 83953 92/01/17  0.418 0.881 6.267 61.914-76.979 0.793
 86612 90/02/03  1.324 0.832 4.823 64.501-77.764 0.852
 86612 92/01/15  0.531 0.813 4.856 63.172-78.123 1.061
 88661 90/02/06  0.945 0.843 6.467 62.304-77.060 1.041
 88661 92/01/17 -0.378 0.821 5.288 61.780-76.644 1.063
 88661 96/03/06  0.441 0.832 5.791 62.945-77.379 1.106
 89080 92/01/20 -0.837 0.948 5.697 66.639-75.243 0.275
 91120 90/02/04  0.766 0.968 4.622 67.379-75.534 0.139
 91120 92/01/18  0.091 0.972 4.790 67.300-74.118 0.111
 91465 90/02/02 -0.298 0.859 6.791 66.116-76.875 0.914
 91465 92/01/15  0.191 0.850 6.905 61.437-77.655 1.110
 91465 96/03/06  0.323 0.859 6.820 61.769-77.526 1.021
105435 90/02/03  0.947 0.823 6.019 62.317-77.965 1.170
105435 91/08/27  0.432 0.837 6.586 60.524-78.607 1.204
105435 92/01/15  0.232 0.843 6.710 61.756-76.353 1.082
105435 96/03/06  0.323 0.848 6.585 62.004-78.143 1.078
105521 96/03/06  0.206 0.807 3.234 61.299-77.291 0.847
109387 95/02/07  0.264 0.877 4.704 62.181-77.673 0.652
110432 90/02/02  0.315 0.921 5.821 63.437-78.547 0.563
110432 92/01/18  0.717 0.924 7.729 62.607-78.124 0.598
112078 90/02/07  0.147 0.861 8.079 61.981-78.374 1.158
112078 91/08/30 -0.070 0.857 7.612 61.614-78.777 1.204
112078 92/01/18  0.398 0.873 7.935 62.141-76.306 0.973
112091 90/02/02  0.707 0.876 4.880 65.181-77.057 0.645
113120 90/02/07 -0.297 0.883 8.373 59.334-79.458 1.049
113120 92/01/20  0.562 0.895 8.076 62.135-76.261 0.819
120324 90/02/02  0.273 0.740 3.822 63.865-78.093 1.206
120324 91/08/26  0.248 0.723 4.555 62.461-78.008 1.467
120324 92/01/15  0.388 0.711 4.326 61.411-77.185 1.513
124367 90/02/04  0.560 0.884 7.112 65.535-77.026 0.772
124367 91/08/27  0.552 0.873 7.410 63.290-76.815 0.915
124367 92/01/19  0.476 0.874 7.477 62.115-77.039 0.903
127972 90/02/05  0.564 0.816 6.848 60.896-77.413 1.373
127972 91/08/27 -0.310 0.820 7.083 60.551-77.978 1.383
127972 96/03/08  0.676 0.812 7.996 61.240-77.438 1.529
127972 96/03/08  0.676 0.812 7.996 61.211-71.676 1.587
131492 90/02/06  0.068 0.841 4.204 61.426-78.035 0.965
131492 91/08/28  0.463 0.857 5.236 60.315-78.523 0.995
131492 92/01/19  0.136 0.866 3.761 62.144-78.453 0.719
134481 91/08/27  0.136 0.950 3.762 65.816-74.603 0.198
135734 90/02/07  0.714 0.901 3.090 66.534-76.805 0.420
135734 91/08/28  0.633 0.906 4.616 66.281-77.572 0.468
135734 92/01/20  0.645 0.910 3.442 66.468-75.999 0.364
137387 90/02/07  0.383 0.814 6.875 61.130-78.463 1.393
137387 91/08/29  1.257 0.780 6.913 60.696-77.993 1.581
137387 92/01/20  0.006 0.793 6.531 62.622-77.536 1.411
138749 96/07/03 -0.059 0.904 7.526 61.681-76.350 0.720
138749 96/07/03 -0.059 0.904 7.526 61.681-70.941 0.735
142184 91/08/30  0.775 0.822 8.235 58.540-77.216 1.603
142983 90/02/04 -0.158 0.803 7.737 59.413-78.134 1.756
142983 91/08/25  0.020 0.770 9.027 59.587-77.979 2.094
142983 91/08/31  0.212 0.785 8.807 62.618-78.013 1.871
142983 92/01/19 -0.255 0.795 8.698 63.068-77.438 1.731
148184 90/02/06  0.366 0.821 3.939 63.047-76.570 0.910
148184 91/08/29  0.145 0.822 4.140 63.540-76.402 0.824
148184 92/01/18  0.048 0.816 3.027 62.290-77.102 0.846
149757 90/02/06  0.500 0.875 8.319 64.385-77.467 0.949
149757 91/08/29  0.176 0.884 9.466 61.681-78.407 1.057
149757 92/01/20  0.117 0.881 8.584 62.651-78.143 1.000
157042 91/08/30  0.248 0.832 8.471 59.425-77.689 1.490
158427 91/08/30  0.292 0.821 7.370 58.226-76.930 1.479
158643 91/08/30 -0.881 0.965 5.197 63.718-73.055 0.177
164284 91/08/26 -0.523 0.820 6.993 59.078-77.117 1.386
164284 92/09/03  0.232 0.834 7.156 60.071-77.887 1.267
164284 92/09/03  0.232 0.834 7.156 60.071-71.232 1.423
164284 96/07/03 -0.147 0.834 6.761 60.581-76.300 1.165
164284 96/09/22  0.117 0.825 7.202 61.760-76.680 1.323
164284 97/09/14 -0.030 0.829 7.526 60.326-77.265 1.401
167128 91/08/29  0.946 0.662 1.586 62.138-76.820 1.025
173948 91/08/26  0.648 0.782 3.944 61.284-74.675 1.022
174237 92/09/05  0.539 0.770 4.701 65.927-76.505 1.137
174638 92/09/06 -0.420 0.597 1.439 68.112-74.457 0.942
174638 92/09/06 -0.420 0.597 1.439 68.098-71.785 1.053
