185037 92/09/04 0.01473 2.47884  1.51553  0.155 0.483 355.02 430.91 0.013 -0.037 36.633-45.108        0.0295 -0.0689
187811 92/09/06 0.02509 2.42582  2.90522  0.205 0.291 573.97 666.46 0.009 -0.104 35.145-45.818        0.0317 -0.3784
189687 92/09/04 0.10038 2.06785  2.31165  0.621 0.351                                                        
191610 92/09/04 0.01406 2.86812  3.66733  0.204 0.239 311.30 416.87 0.031 -0.075 35.874-44.535        0.0879 -0.1309
192044 92/09/06 0.02726 2.41117  1.75829  0.211 0.434 219.22 319.36 0.034 -0.022 37.135-44.228        0.0941 -0.0193
193911 92/09/07 0.06224 2.17537  1.56509  0.412 0.472 181.60 243.94 0.050  0.001 37.679-43.526 0.1296  
198183 92/09/07 0.03023 2.33478  1.73993  0.048 0.437                                                        
200120 92/09/02 0.05116 1.97715  3.98490  0.941 0.222 316.81 571.35 0.058  0.025 33.697-47.183 0.4247  
201733 99/09/15 0.04415 2.22415  2.58515  0.817 0.321                                                        
202904 92/09/02 0.04540 2.20769  3.64548  0.240 0.240 135.34 246.32 0.145  0.092 37.164-43.748 0.4701  
203467 92/09/02 0.05615 2.46496  2.38567  0.169 0.342 181.36 259.86 0.046 -0.018 37.020-43.643        0.1096 -0.0118
204860 99/09/20 0.03789 2.51219  2.71121  0.580 0.309                                                        
205637 91/08/26 0.04034 2.63747  3.47960  0.355 0.250                                                        
205637 91/08/31 0.03113 2.77429  3.78498  0.428 0.232                                                        
205637 96/09/21 0.06674 2.52043  2.76063  0.507 0.304                                                        
208057 91/08/28 0.01394 2.63809  2.32760  0.244 0.349                                                        
208682 92/09/08 0.05098 2.43930  2.25004  0.340 0.359                                                        
209014 91/08/26 0.01700 2.51166  1.56150  0.416 0.473 284.36 419.77 0.044 -0.051 36.336-45.746        0.1365 -0.0698
209014 91/08/29 0.01840 2.42651  1.63590  0.295 0.457 295.28 425.32 0.030 -0.052 36.640-44.052        0.0856 -0.0862
209409 91/08/27 0.02642 2.42008  1.92672  0.769 0.405 262.43 362.54 0.041 -0.211 37.370-44.460        0.1177 -0.1406
209409 91/08/30 0.01936 2.62771  1.92373  0.614 0.405 246.29 362.67 0.048 -0.192 36.766-44.486        0.1405 -0.1338
209522 91/08/27 0.05604 2.22783  1.68766  0.311 0.447                                                        
210129 91/08/28 0.04463 2.14077  1.30483 -0.485 0.535 143.46 235.50 0.072  0.023 36.625-42.072 0.2069  
212076 91/08/27 0.37149 1.66977  2.53030  0.563 0.326  67.64 178.57 0.191  0.167 38.289-43.224 0.4895  
212076 91/08/31 0.31256 1.76218  2.44025  0.759 0.336  89.39 189.61 0.156  0.114 37.339-43.104 0.4279  
212076 92/09/02 0.04568 2.51368  3.30875  0.634 0.261  92.16 206.00 0.255  0.196 37.559-43.210 0.7916  
212076 92/09/07 0.04733 2.49568  3.28881  0.523 0.262  86.56 205.59 0.247  0.187 37.684-43.480 0.7660  
212076 96/09/21 0.13038 2.26255  2.73792  0.904 0.306 111.40 228.24 0.190  0.136 37.198-43.847 0.6223  
212076 97/09/13 0.06144 2.58557  3.45078  0.858 0.252 108.18 208.26 0.177  0.128 37.890-43.098 0.5191  
212571 91/08/26 0.06380 2.08436  6.73739  1.701 0.138 332.70 397.62 0.038 -0.100 36.092-43.964        0.0954 -0.2031
214168 92/09/07 0.11598 2.03394  2.53253  0.367 0.326                                                        
214748 91/08/26 0.03168 2.37320  1.40003  0.382 0.510 259.66        0.008 -0.034 38.522-42.595        0.0057 -0.0544
214748 91/08/29 0.05468 2.11558  1.24683  0.461 0.552 202.92 316.56 0.036  0.003 37.845-44.113 0.1110  
217050 92/09/04 0.06855 2.50905  2.83858  0.360 0.297 284.27 414.22 0.060 -0.618 34.086-44.081        0.2000 -0.6207
217891 91/08/26 0.04243 2.14110  1.49305  0.559 0.488  43.33 146.25 0.243  0.219 38.008-42.870 0.5650  
224544 99/09/24 0.05456 2.27018  1.74181  0.307 0.437                                                        
224559 92/09/03 0.01337 2.80318  2.65706  0.364 0.314 243.90 360.43 0.040 -0.038 34.851-44.425        0.1254 -0.0353
224559 99/09/26 0.02150 2.58136  2.71480  0.401 0.308 273.69 384.79 0.030 -0.035 35.652-44.597        0.0980 -0.0426
